"","intcpt","slp","rsq","scen"
"(Intercept)1041",91.0081893807282,0.807762261342978,0.242983862022932,"HEALS primary + secondary water"
"(Intercept)1051",91.8997293190828,0.801800490262124,0.241153952865604,"HEALS primary + secondary water"
"(Intercept)1061",96.8749712384092,0.781920176181668,0.241746432769789,"HEALS primary + secondary water"
"(Intercept)1071",95.905544309825,0.789005835326503,0.238059429575415,"HEALS primary + secondary water"
"(Intercept)1081",99.0064887929662,0.767740521537748,0.231823381755997,"HEALS primary + secondary water"
"(Intercept)1091",95.8221500379843,0.782444701168448,0.236744650785533,"HEALS primary + secondary water"
"(Intercept)1101",95.0054029140151,0.784185618118809,0.240034550568744,"HEALS primary + secondary water"
"(Intercept)1111",96.8892025467947,0.781708460335571,0.239508767074374,"HEALS primary + secondary water"
"(Intercept)1121",94.4422718686451,0.785075240865236,0.24216094318507,"HEALS primary + secondary water"
"(Intercept)1131",94.6442536593034,0.79534706698139,0.239428848220224,"HEALS primary + secondary water"
"(Intercept)1141",95.5090221369841,0.796675085717107,0.236859176954559,"HEALS primary + secondary water"
"(Intercept)1151",98.0178704371754,0.782795892997834,0.236285181595814,"HEALS primary + secondary water"
"(Intercept)1161",96.2431061141834,0.790358607424924,0.239660474440127,"HEALS primary + secondary water"
"(Intercept)1171",92.6381678638096,0.798962802322066,0.243114092272195,"HEALS primary + secondary water"
